CUST_CODE,Churn_Risk_Probability,Holiday_Monetary,Pre_Monetary,Holiday_Frequency,Holiday_Uplift_Ratio,Holiday_Spend_Share
CUST0000413454,0.9608453,193.14,370.73,3,4.877695754793973,0.3425257594835689
CUST0000067884,0.95981044,353.01,398.69,3,8.289949354174341,0.4696155381136091
CUST0000881223,0.9576476,404.84,475.04999999999995,9,7.978923582426692,0.4601029674163816
CUST0000027849,0.9569209,288.92,276.94,3,9.767695901720007,0.5105856572297035
CUST0000492574,0.95594555,227.82999999999998,412.34999999999997,4,5.173031502555701,0.35588428254553406
CUST0000878331,0.95524347,194.14,318.58,6,5.705539669339196,0.37864721485411135
CUST0000043947,0.9526241,220.77999999999997,332.32,3,6.220187293155686,0.3991683239920449
CUST0000897019,0.95236677,225.48,98.1,5,20.0,0.6968292230669386
CUST0000752388,0.9522286,211.56,535.02,5,3.7022330480381416,0.28337217712770235
CUST0000056450,0.9519887,286.26,346.13,6,7.74322067548242,0.4526637043596515
CUST0000282069,0.9518056,281.35,883.25,3,2.982383481743189,0.2415850935943672
CUST0000717298,0.95170754,269.36,517.37,4,4.874522428545852,0.34237921523267195
CUST0000572546,0.9506835,228.09,142.38,6,14.998832961486897,0.6156773827840311
CUST0000940837,0.950349,186.78,267.63,4,6.534250637181591,0.41103848946986205
CUST0000198200,0.95031124,278.96,482.40999999999997,4,5.414094656861502,0.3663921614983517
CUST0000300785,0.9494913,203.76,453.33,4,4.20828053742646,0.31009450760169843
CUST0000775101,0.9493491,327.26,492.58,4,6.22037208254598,0.3991754488680718
CUST0000173648,0.9492425,474.99,460.7,21,9.653092463134572,0.5076360760508288
CUST0000235448,0.94890344,451.55,572.28,9,7.387499934558743,0.44104001640897417
CUST0000508654,0.94878906,250.77,270.06,4,8.693917777360616,0.48148148148148145
CUST0000423085,0.94874084,167.86999999999998,270.06,2,5.819866719645597,0.38332610234512365
CUST0000955587,0.9486434,242.19,178.2,4,12.724734201409628,0.5761078998073218
CUST0000958474,0.9485812,356.99,360.17,14,9.280016040023733,0.4977829215237882
CUST0000865857,0.9483756,199.21,300.89,5,6.198742460442255,0.3983403319336133
CUST0000992063,0.9483057,332.28000000000003,546.58,11,5.691813709705299,0.3780806954463737
CUST0000213703,0.94825417,311.2,338.95,9,8.596153499473425,0.47865877105283394
CUST0000796847,0.9480799,279.15,412.21,14,6.3404388849042626,0.40376938208747976
CUST0000406476,0.9480452,288.64,404.8,9,6.675998400274238,0.416243654822335
CUST0000960744,0.9477578,311.92,272.07,8,10.734029326050289,0.5341187349098444
CUST0000251381,0.9476306,175.23000000000002,226.06,3,7.257464992199692,0.43666674973211395
CUST0000035254,0.9474728,213.55,571.23,4,3.500167112933768,0.272114477942863
CUST0000564869,0.94724494,212.0,309.2,10,6.419431775103569,0.4067536454336147
CUST0000461062,0.94718945,502.01,568.67,11,8.265178978720826,0.46887025068180976
CUST0000739164,0.94678354,321.69,39.230000000000004,7,20.0,0.8913055524770032
CUST0000829249,0.9467793,488.90999999999997,717.17,11,6.382738001976925,0.40537111966038736
CUST0000907775,0.946763,388.15999999999997,748.99,10,4.85215841871609,0.34134458954403546
CUST0000281710,0.9467415,207.95999999999998,139.52,8,13.955440617126182,0.5984804880856451
CUST0000664910,0.9465411,485.09,917.45,8,4.95039813904577,0.3458653585637486
CUST0000314887,0.9464374,240.2,477.01,10,4.714609547245144,0.3349088830328634
CUST0000423097,0.9462659,204.12,461.11,7,4.144586717003599,0.306841242878403
CUST0000857527,0.9462253,463.69,260.3,9,16.67837651188889,0.6404646473017583
CUST0000872346,0.94619906,269.75,417.18,12,6.053941019040363,0.3926892114189218
CUST0000173303,0.9460227,214.88,109.44,7,18.38315812527376,0.6625555007400099
CUST0000108520,0.945922,231.82,396.55,7,5.4733492270968505,0.36892276843261135
CUST0000388488,0.9457873,383.87,626.04,17,5.740930665616828,0.3801031775108673
CUST0000643765,0.94575095,205.37,368.46,12,5.218514172316314,0.35789345276475615
CUST0000605096,0.94564915,400.2,197.04000000000002,9,19.016163263607563,0.6700823789431384
CUST0000642214,0.94528556,227.06,253.09,16,8.399740313535476,0.47289388732687704
CUST0000648058,0.94520056,473.55,345.78,10,12.822307356070706,0.5779722456153199
CUST0000775403,0.94507885,176.28,332.38,3,4.96556155862007,0.34655762198718204
CUST0000667626,0.94506866,450.65,473.78000000000003,15,8.905593418747724,0.4874895881786614
CUST0000143327,0.9448328,278.94,131.16,13,19.91175777525839,0.6801755669348939
CUST0000888182,0.9447883,236.39,148.32999999999998,4,14.92108195731133,0.6144468704512372
CUST0000716866,0.9446561,627.9,682.48,15,8.613918651171092,0.4791739800668508
CUST0000898543,0.9445764,222.95000000000002,493.7,7,4.228093292169909,0.3111002581455383
CUST0000863362,0.9444303,380.99,590.45,10,6.041303604936611,0.39219097422383264
CUST0000848471,0.9440901,385.42,269.76,13,13.376943909259683,0.588265820079978
CUST0000701102,0.9440135,233.69,523.86,17,4.176621327994213,0.3084812883638044
CUST0000005367,0.94387764,349.45000000000005,218.97,10,14.941721536206696,0.6147742866190493
CUST0000401215,0.9438568,294.2,300.46999999999997,20,9.167306742870247,0.4947281685640776
CUST0000449747,0.9437621,464.5,134.65,16,20.0,0.7752649586914796
CUST0000154483,0.9436191,258.03,655.02,7,3.688211805311057,0.28260226712666336
CUST0000087609,0.94360566,489.27,873.83,11,5.242299735559301,0.35893918274521314
CUST0000604889,0.94347733,200.23000000000002,282.23,4,6.642417720367955,0.41501886166728846
CUST0000973582,0.9434747,593.1,358.27,13,15.499500134736401,0.623416756887436
CUST0000742062,0.9434147,454.05,472.42,12,8.998613869560044,0.49008602545144475
CUST0000232088,0.94338024,182.62,400.95,18,4.264403906687451,0.31293589457991333
CUST0000142108,0.9433372,259.79,552.43,5,4.402966556337413,0.31985176430031276
CUST0000469920,0.9431786,382.89,762.74,10,4.699998435683344,0.3342178539318977
CUST0000369592,0.9431241,917.11,1521.26,11,5.644405349165657,0.37611601192599975
CUST0000903655,0.9429117,494.13,577.03,9,8.017575179877438,0.46130363344411673
CUST0000141623,0.94279426,195.18,458.5,7,3.985622717052836,0.298586464325052
CUST0000802034,0.9427101,153.25,171.36,1,8.373195697464267,0.4721049875234897
CUST0000045563,0.9426625,217.54,214.27999999999997,4,9.505122063877026,0.5037747209485435
CUST0000206034,0.942572,283.49,264.6,12,10.031089746454866,0.5172325712930358
CUST0000006249,0.9425526,306.19,691.36,9,4.146550564717552,0.30694200791940257
CUST0000086637,0.9425307,235.87,775.09,4,2.849185891667635,0.23331289071773365
CUST0000941139,0.9423903,206.74,310.79,8,6.2281302630966415,0.39947442660328875
CUST0000004675,0.942378,342.65999999999997,686.82,12,4.671116395771082,0.33284765124140336
CUST0000594884,0.942346,203.45,253.39999999999998,4,7.517116752248267,0.4453321659187917
CUST0000160971,0.94234294,475.34000000000003,105.82,11,20.0,0.8179158923532245
CUST0000083147,0.9423376,285.47,85.03999999999999,15,20.0,0.770478529594343
CUST0000873602,0.9423171,230.17999999999998,385.44,12,5.59127708510955,0.3738994834475813
CUST0000668437,0.94224346,209.48000000000002,188.71,17,10.393165966509876,0.5260805143273312
CUST0000935417,0.9421855,241.18,633.55,4,3.5641880312541256,0.2757193648325769
CUST0000169375,0.9421687,440.44,297.13,10,13.878433951999753,0.5971501010073621
CUST0000498542,0.94195306,231.12,547.22,5,3.954356126470045,0.2969396407739548
CUST0000651202,0.9419305,501.06,833.88,16,5.625827197174685,0.3753427120320014
CUST0000186414,0.9419223,140.01,217.88,2,6.016472014275902,0.39120958953868507
CUST0000725365,0.94185597,477.48,252.45999999999998,12,17.70772705643485,0.6541359563799765
CUST0000800768,0.941692,651.0699999999999,328.56,25,18.552959923556042,0.66460806631075
CUST0000805433,0.94163895,466.93,384.75,13,11.362486007689688,0.548245820026301
CUST0000644359,0.9415865,249.65,374.11,14,6.247876914780944,0.4002340643837374
CUST0000343129,0.94145715,269.61,326.38,16,7.7341514156124616,0.45237336196916056
CUST0000837844,0.94144523,291.2,402.34,16,6.776389657951705,0.41987484499812555
CUST0000988575,0.9414332,300.46999999999997,834.16,5,3.372500077820305,0.2648176057393159
CUST0000421971,0.9412774,198.73000000000002,498.41,7,3.733162521206398,0.2850646928880856
CUST0000993974,0.94125116,352.57,213.03,5,15.49547166368639,0.6233557284299858
CUST0000805824,0.941112,234.02,226.42,7,9.676947855792516,0.5082529754148206
CUST0000781753,0.9411092,483.09000000000003,341.83,11,13.231774306821869,0.5856204237986714
CUST0000605083,0.9410415,210.29,624.13,3,3.154596191328026,0.25201936674576353
CUST0000469318,0.94103706,286.32,27.800000000000004,12,20.0,0.9114987902712339
CUST0000194722,0.94101113,393.42,113.28,9,20.0,0.7764357608052102
CUST0000486687,0.9409596,373.21,454.59000000000003,10,7.686588041572975,0.45084561488282193
CUST0000569545,0.9409208,251.14,298.81,10,7.869025892061286,0.4566596963360305
CUST0000731667,0.9408984,425.24,588.63,12,6.763818245368658,0.419422608421198
CUST0000040544,0.9408472,273.2,147.93,13,17.291180711692576,0.6487307957162871
CUST0000222437,0.94078594,291.89,785.86,9,3.4775568990046235,0.27083275342147994
CUST0000029222,0.9407172,259.98,426.76,4,5.703696982021056,0.37857122054926173
CUST0000006986,0.9405164,217.96,486.6,6,4.193772876560953,0.30935619393664127
CUST0000644898,0.94047785,230.51999999999998,371.04,10,5.816853037723564,0.3832036704568123
CUST0000736518,0.94034386,217.32,260.91999999999996,16,7.7981671243953725,0.45441619270659084
CUST0000206415,0.94033706,327.17,170.85,6,17.929108803974252,0.6569414882936429
CUST0000012944,0.9403209,279.45,726.29,5,3.6024193048938846,0.2778551116590769
CUST0000910532,0.9403196,281.4,452.21,25,5.826183287153837,0.38358255748967435
CUST0000660103,0.94028527,208.73,750.21,5,2.6049670612596407,0.21766742444782777
CUST0000298954,0.94026816,287.99,10.48,17,20.0,0.9648875933929708
CUST0000084303,0.94013196,367.55,60.00999999999999,10,20.0,0.8596454298811863
CUST0000222864,0.940022,425.25,532.41,17,7.4782215972242945,0.4440511246162521
CUST0000829535,0.9400204,377.06,818.8,10,4.311544184720821,0.31530446707808607
CUST0000363172,0.9399724,211.75,45.79,2,20.0,0.8222023763298905
CUST0000382919,0.9399332,237.82,219.47,8,10.145499248667813,0.52006385444685
CUST0000983923,0.9399071,340.5,767.74,17,4.152438029368722,0.30724391828484804
CUST0000444886,0.9398465,301.24,314.11,12,8.979064432971683,0.48954253676769316
CUST0000881235,0.939842,276.87,820.85,4,3.158001341034825,0.2522227890536749
CUST0000982136,0.93977344,601.39,381.26,11,14.76845862701742,0.6120083447819671
CUST0000720230,0.93975705,390.53,402.25,11,9.089888594788349,0.49260828981558563
CUST0000988987,0.9395102,581.14,373.29,6,14.575874661254266,0.6088869796632544
CUST0000143632,0.9395031,215.57,23.76,17,20.0,0.9007228512931935
CUST0000744297,0.939417,411.11,701.3199999999999,17,5.4883528998405335,0.3695603318860513
CUST0000789898,0.9394006,570.28,480.96000000000004,25,11.101441991181892,0.5424831627411437
CUST0000349979,0.93939745,230.77,285.1,7,7.5784841153552405,0.4473413844573245
CUST0000206673,0.9392189,402.74,402.17,10,9.375950514451217,0.5003540768533128
CUST0000378965,0.939176,416.66999999999996,344.62,13,11.32014439183847,0.54732099462754
CUST0000378185,0.9391612,244.6,258.81,10,8.848621363695283,0.4858862557358813
CUST0000259806,0.9391203,354.72,460.67,11,7.2093474547598735,0.43503108941733404
CUST0000299333,0.9390482,264.85,230.85,4,10.741633004007074,0.5342949364535001
CUST0000187309,0.9389838,408.03,535.66,3,7.131864614142485,0.43237715775307567
CUST0000512097,0.9389652,247.31,188.85,9,12.260971987237227,0.5670166911225238
CUST0000550140,0.93887186,237.43,404.78,7,5.491825867480195,0.36970772800174395
CUST0000216288,0.9388185,573.31,310.97999999999996,29,17.260654905618615,0.6483280371823723
CUST0000535967,0.93880963,455.88,590.47,20,7.228578708330677,0.4356859559420844
CUST0000751889,0.93869776,224.97,389.28999999999996,10,5.410676547880945,0.3662455637677856
CUST0000907448,0.9386876,303.8,467.40999999999997,15,6.085411932971081,0.3939264273025505
CUST0000454943,0.93863165,497.07,491.04,9,9.477654951233328,0.5030512797158211
CUST0000479521,0.9385558,495.33,184.01000000000002,16,20.0,0.7291341596255189
CUST0000601420,0.9385221,312.28000000000003,447.68,16,6.530954976287736,0.41091636401915893
CUST0000979702,0.93831766,463.92999999999995,544.88,12,7.971715697784232,0.4598784706733676
CUST0000952953,0.9383116,359.7,394.16,18,8.544134975104328,0.4771442973496405
CUST0000882974,0.9382952,398.5,217.29000000000002,18,17.17073152146719,0.6471361990288897
CUST0000627264,0.938263,339.86,429.31,7,7.411895033961993,0.44185290637960395
CUST0000722337,0.938249,218.08999999999997,52.99,11,20.0,0.80452265014018
CUST0000810382,0.93822366,226.87,305.34,16,6.956544725954231,0.42627910035512295
CUST0000658563,0.9382036,199.81,239.2,12,7.820891418613952,0.45513769618004146
CUST0000551035,0.9381943,259.95,283.08,6,8.597671483774223,0.4787028340975637
CUST0000539958,0.9381598,192.59,360.76,4,4.998222288499138,0.34804373362248126
CUST0000288627,0.93811417,222.03,368.34000000000003,9,5.643687875646513,0.37608618324101833
CUST0000657691,0.9380494,342.78999999999996,523.5699999999999,9,6.129902995649724,0.39566692829770533
CUST0000821240,0.93801486,431.89,83.60999999999999,17,20.0,0.837807953443259
CUST0000467722,0.93796897,194.49,204.5,12,8.904390054265235,0.4874558259605504
CUST0000215607,0.93794334,264.42,810.66,7,3.0539067257311436,0.24595378948543367
CUST0000456579,0.9378916,208.04,410.5,9,4.744974639113544,0.3363404145245255
CUST0000186823,0.93788797,296.39,139.51,9,19.891082558430757,0.6799495297086487
CUST0000715850,0.9378805,233.99,100.2,8,20.0,0.7001705616565427
CUST0000611482,0.9378469,201.26000000000002,497.65999999999997,5,3.786386517548646,0.28795856464259145
CUST0000992559,0.937837,232.96,14.489999999999998,7,20.0,0.9414427157001414
CUST0000786608,0.93783,428.61,192.4,9,20.0,0.6901821226711325
CUST0000888211,0.9377536,305.03000000000003,14.510000000000002,15,20.0,0.9545909745258809
CUST0000634155,0.9377344,179.52,436.19,3,3.8533401413789137,0.29156583456497376
CUST0000787592,0.93773234,416.56,531.83,15,7.333392748510256,0.4392285873954807
CUST0000291078,0.93768114,251.03,820.39,6,2.864873696573177,0.23429654103899497
CUST0000366773,0.93768084,352.08,400.54,10,8.229921143906447,0.4678057984108846
CUST0000490489,0.93763363,223.69,89.57,10,20.0,0.7140713784077125
CUST0000895077,0.93760663,224.58,59.959999999999994,16,20.0,0.7892739157939129
CUST0000472560,0.9376059,337.88,730.59,15,4.330010743751306,0.3162278772450326
CUST0000743907,0.93759143,399.9,157.11,10,20.0,0.7179404319491571
CUST0000067007,0.9375576,262.68,190.29,12,12.92442567603262,0.5799059540366912
CUST0000493345,0.93752414,302.53,328.57,12,8.620664659348716,0.47936935509427986
CUST0000836969,0.93746257,303.33,136.23,11,20.0,0.6900764400764401
CUST0000341653,0.9374533,392.3,394.77,16,9.304100190143817,0.49843088924746215
CUST0000482910,0.93745303,399.75,430.8,19,8.687863517069973,0.48130756727469753
CUST0000409468,0.9373759,265.66,97.73,9,20.0,0.7310602933487438
CUST0000420402,0.93734926,225.89000000000001,340.76,5,6.206526410239522,0.3986411365040149
CUST0000896618,0.93727446,323.01,182.92,25,16.533126435143373,0.638448006641235
CUST0000800532,0.9372724,306.11,34.56,11,20.0,0.898552851733349
CUST0000185082,0.9372327,357.04,434.2,13,7.698874968147199,0.4512410899347859
CUST0000760046,0.9372238,151.78,354.54,15,4.008201258286819,0.29977089587612576
CUST0000437097,0.9372007,568.26,845.4,14,6.293395936951211,0.40197784474343196
CUST0000128778,0.9371889,385.5,82.06,22,20.0,0.8244931131833347
CUST0000927302,0.9371798,204.57999999999998,370.74,6,5.166470340917766,0.35559340888548985
CUST0000918172,0.93716985,207.02,802.72,3,2.4146179926489095,0.20502307524709332
CUST0000739798,0.93713576,370.16,413.21999999999997,15,8.387033255250374,0.4725165309300723
CUST0000349605,0.93711585,196.8,311.5,16,5.9151703321852,0.3871729293724179
CUST0000365845,0.93705165,499.04,1289.46,11,3.623495236920678,0.27902711769639366
CUST0000111311,0.93699396,472.98,506.16999999999996,8,8.748761699809632,0.48305162641066235
CUST0000489993,0.9369885,372.53999999999996,188.01,5,18.55206138907952,0.6645972705378645
